(dapo) lujunxi57@instance-20251022-125445:~/trl$ python inference_vgr_entropy.py
================================================================================
开始推理脚本
================================================================================

1. 加载数据集...
数据集大小: 9930
第一个样本的keys: dict_keys(['image', 'problem', 'solution'])

2. 加载模型和processor...
正在加载模型: Qwen/Qwen2.5-VL-3B-Instruct
Loading checkpoint shards: 100%|███████████████████████████████████████████| 2/2 [00:02<00:00,  1.24s/it]

Prompt: What is the man by the bags awaiting?
Image size: (640, 480)

================================================================================
开始第 1 次推理...
================================================================================
generate_inputs keys: ['input_ids', 'attention_mask', 'pixel_values', 'image_grid_thw']
  pixel_values: shape=torch.Size([1564, 1176]), dtype=torch.bfloat16
  image_grid_thw: shape=torch.Size([1, 3]), dtype=torch.int64
  从scores获取logits: logits_list长度=108, 第一个logit shape=torch.Size([1, 151936])
  堆叠后logits shape: torch.Size([1, 108, 151936])
计算VGR指标...
计算熵值...
  logits shape: torch.Size([1, 108, 151936])
  logits dtype: torch.float32
  logits contains nan: False
  logits contains inf: True
  警告: logits包含nan或inf值
  entropy_per_token shape: torch.Size([1, 108])
  entropy_per_token contains nan: False

================================================================================
推理 1 结果
================================================================================
生成文本: The man by the bags, which include a suitcase and a duffel bag, is likely waiting for someone or something. He appears to be standing on the side of the road, possibly near a street or a parking area. The presence of the luggage suggests he might be traveling, either arriving or departing from a destination. The exact reason for his waiting is not clear from the image alone, but it could be for a ride, waiting for someone to pick him up, or perhaps he has just arrived and is preparing to leave.

Token级别的VGR和熵值:
Token                          VGR             Entropy        
------------------------------------------------------------
The                            34.9811         0.4114         
 man                           37.7057         0.0000         
 by                            33.4730         1.2964         
 the                           17.7196         0.0000         
 bags                          51.1716         0.0000         
,                              15.6109         0.7780         
 which                         27.8169         0.2110         
 include                       5.1220          0.0000         
 a                             2.8205          0.0000         
 suitcase                      8.2519          0.3729         
 and                           4.3713          0.0000         
 a                             2.9052          0.0000         
 d                             5.6630          0.2111         
uff                            8.0132          0.0000         
el                             8.2008          0.0000         
 bag                           10.5878         0.0000         
,                              68.5895         0.0000         
 is                            38.4698         0.4511         
 likely                        56.8599         0.0000         
 waiting                       38.7286         0.6892         
 for                           15.7341         0.0000         
 someone                       21.5844         0.3729         
 or                            20.0731         0.2685         
 something                     28.4835         0.0000         
.                              27.1919         0.0000         
 He                            16.9295         1.0574         
 appears                       12.7551         1.0294         
 to                            16.9786         0.0000         
 be                            9.8050          0.0000         
 standing                      11.4420         1.0161         
 on                            7.5195          0.4114         
 the                           4.7861          0.6585         
 side                          9.0814          0.6026         
 of                            7.6245          0.0000         
 the                           4.4265          0.6585         
 road                          10.1674         0.0000         
,                              9.7139          0.2385         
 possibly                      11.9385         0.3603         
 near                          5.8722          1.0875         
 a                             3.5204          0.0000         
 street                        5.1408          1.3187         
 or                            4.0820          0.5968         
 a                             4.1795          0.6482         
 parking                       5.1414          0.0000         
 area                          10.0840         0.4114         
.                              27.6102         0.4910         
 The                           11.9361         0.3729         
 presence                      23.3777         0.0000         
 of                            6.2387          0.0000         
